Denominazione;IdCodice;TipoDocumento;Numero;Data;ImportoTotaleDocumento;DataScadenzaPagamento;ImportoPagamento;ModalitaPagamento;Cessionario;IdCodiceCess
Wquattro S.p.A.;1234567890;TD01;F2502710053;22-01-2025;31.85;21-02-2025;31.85;MP20;T.S.O. spa;01234567890
MIV S.R.L.;1234567890;TD24;000527;29-01-2025;0.00;05-05-2025;217.83;MP12;T.S.O. spa;01234567890
MIV S.R.L.;1234567890;TD24;FT/DIF/VEN/0002443;30-05-2025;290.48;10-09-2025;290.48;MP12;T.S.O. spa;01234567890
L T A;1234567890;TD01;25V1-14153;14-07-2025;247.65;31-10-2025;247.65;MP12;T.S.O. spa;01234567890
L T A;1234567890;TD01;25V1-14153;14-07-2025;206.18;31-10-2025;206.18;MP12;T.S.O. spa;01234567890
